epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2813,2.03908,2.43557,3.81274,1.20028,0.00444,0.5,0.00385,0.00184,0.00444,0.5,0.00379,0.00213,1.42944,1.99338,3.65946,1.02754,0,0,0
2,17.4004,1.55703,2.31267,3.92777,1.16512,0.00444,0.5,0.0037,0.00169,0.00444,0.5,0.00366,0.00205,1.43681,1.98892,3.66221,1.02949,1.9604e-05,1.9604e-05,1.9604e-05
3,18.3675,1.89661,2.8034,4.10012,1.20982,0.00556,0.625,0.00483,0.00226,0.00444,0.5,0.00352,0.00232,1.45531,1.97682,3.6626,1.0328,3.8416e-05,3.8416e-05,3.8416e-05
4,19.0735,1.9252,2.37615,3.79371,1.1624,0.00333,0.375,0.00246,0.00126,0.00333,0.375,0.00234,0.00147,1.45237,1.9591,3.65672,1.03054,5.6436e-05,5.6436e-05,5.6436e-05
5,20.0493,2.0376,2.88417,4.06219,1.2263,0.00444,0.5,0.00345,0.00148,0.00333,0.375,0.00237,0.00142,1.47289,1.94439,3.66369,1.03283,7.3664e-05,7.3664e-05,7.3664e-05
6,21.0212,1.78502,2.63956,4.03891,1.17957,0.00333,0.375,0.00265,0.00211,0.00556,0.625,0.00524,0.0024,1.28189,1.86769,3.63265,0.99909,9.01e-05,9.01e-05,9.01e-05
7,22.8772,1.6456,2.15669,3.65746,1.15705,0.00667,0.75,0.00698,0.00523,0.00667,0.75,0.00788,0.00513,1.12086,1.83804,3.55803,0.96132,0.000105744,0.000105744,0.000105744
8,23.9825,1.49566,2.06059,3.61435,1.01531,0.00667,0.75,0.00679,0.00507,0.00667,0.75,0.00804,0.00498,1.11287,1.82277,3.55739,0.95963,0.000120596,0.000120596,0.000120596
9,24.9493,1.64121,1.88648,3.59442,1.08317,0.00667,0.75,0.00679,0.00507,0.00667,0.75,0.00804,0.00498,1.11287,1.82277,3.55739,0.95963,0.000134656,0.000134656,0.000134656
10,26.0367,1.59055,1.85415,3.50724,1.04389,0.00667,0.75,0.00813,0.00579,0.00667,0.75,0.13192,0.01852,0.99166,1.68135,3.5364,0.91455,0.000147924,0.000147924,0.000147924
11,27.1768,1.68493,1.91902,3.54149,1.05363,0.00667,0.75,0.00813,0.00579,0.00667,0.75,0.13192,0.01852,0.99166,1.68135,3.5364,0.91455,0.0001604,0.0001604,0.0001604
12,28.4662,1.43278,1.83187,3.39204,0.9883,0.00667,0.75,0.01121,0.00859,0.00778,0.875,0.01217,0.00809,1.00703,1.63238,3.52835,0.90308,0.000172084,0.000172084,0.000172084
13,29.9383,1.41204,1.85011,3.3253,0.97803,0.00667,0.75,0.01121,0.00859,0.00778,0.875,0.01217,0.00809,1.00703,1.63238,3.52835,0.90308,0.000182976,0.000182976,0.000182976
14,30.9935,1.64398,1.86594,3.4666,0.99659,0.00667,0.75,0.01111,0.00763,0.00778,0.875,0.01207,0.00865,1.06168,1.58408,3.53485,0.90756,0.000193076,0.000193076,0.000193076
15,33.0094,1.55646,1.96987,3.15397,1.02497,0.00667,0.75,0.01111,0.00763,0.00778,0.875,0.01207,0.00865,1.06168,1.58408,3.53485,0.90756,0.000202384,0.000202384,0.000202384
16,34.2087,1.24636,1.41792,3.09963,0.94297,0.00667,0.75,0.02851,0.01454,0.00889,1,0.12767,0.07087,1.09192,1.26597,3.52197,0.90429,0.0002109,0.0002109,0.0002109
17,35.0842,1.34293,1.71613,2.89705,0.96549,0.00667,0.75,0.02851,0.01454,0.00889,1,0.12767,0.07087,1.09192,1.26597,3.52197,0.90429,0.000218624,0.000218624,0.000218624
18,36.2407,1.82852,2.05374,3.01641,1.04596,0.00889,1,0.10492,0.03552,0.00889,1,0.31113,0.14564,1.06942,1.12113,3.47265,0.88853,0.000225556,0.000225556,0.000225556
19,37.1136,1.46219,1.85433,2.81119,1.08152,0.00889,1,0.10492,0.03552,0.00889,1,0.31113,0.14564,1.06942,1.12113,3.47265,0.88853,0.000231696,0.000231696,0.000231696
20,37.9357,1.46806,1.907,2.75616,0.97102,0.00889,1,0.18354,0.0648,0.00889,1,0.37766,0.13197,1.03261,1.1086,3.44215,0.87612,0.000237044,0.000237044,0.000237044
21,38.7218,1.36446,1.47882,2.54161,0.97901,0.00889,1,0.18354,0.0648,0.00889,1,0.37766,0.13197,1.03261,1.1086,3.44215,0.87612,0.0002416,0.0002416,0.0002416
22,39.6204,1.41287,1.59389,2.52933,1.03641,0.00889,1,0.21157,0.06381,0.00889,1,0.39674,0.13656,1.07036,1.18488,3.43279,0.87429,0.000245364,0.000245364,0.000245364
23,40.5154,1.50525,1.91877,2.37179,0.98165,0.00889,1,0.21157,0.06381,0.00889,1,0.39674,0.13656,1.07036,1.18488,3.43279,0.87429,0.000248336,0.000248336,0.000248336
24,41.507,1.40002,1.76307,2.35128,0.98367,0.00889,1,0.21157,0.06381,0.00889,1,0.39674,0.13656,1.07036,1.18488,3.43279,0.87429,0.000250516,0.000250516,0.000250516
25,42.4735,1.48511,1.86075,2.3756,1.01049,0.00889,1,0.2181,0.05801,0.00889,1,0.43723,0.18485,1.12185,1.38782,3.48428,0.88692,0.000251904,0.000251904,0.000251904
26,43.3392,1.62378,1.85333,2.22416,1.02402,0.00889,1,0.2181,0.05801,0.00889,1,0.43723,0.18485,1.12185,1.38782,3.48428,0.88692,0.0002525,0.0002525,0.0002525
27,44.4202,1.45889,1.67258,2.17824,1.00856,0.00889,1,0.2181,0.05801,0.00889,1,0.43723,0.18485,1.12185,1.38782,3.48428,0.88692,0.000252304,0.000252304,0.000252304
