epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6871,2.2253,2.55757,0.69701,4.18581,2.12073,0.52927,0.5,0.51525,0.23842,0.55492,0.59075,0.61043,0.19764,1.6559,2.59106,0.67618,2.00849,1.49585,0.00012,0.00012,0.00012
2,40.0233,1.90168,2.58982,0.67048,1.93487,1.62513,0.80788,0.66411,0.82022,0.39955,0.80788,0.66411,0.85302,0.36894,1.48431,2.48209,0.66435,1.72586,1.36831,0.000259357,0.000259357,0.000259357
3,43.0549,1.5781,2.11105,0.61661,1.31365,1.37983,0.92437,0.96502,0.95198,0.54371,0.91977,1,0.973,0.44201,1.2904,2.46116,0.65075,1.76036,1.25651,0.00039802,0.00039802,0.00039802
4,46.3663,1.54981,1.87959,0.59596,1.08417,1.3415,0.92104,0.92084,0.93625,0.52237,0.92104,0.92084,0.94988,0.45117,1.43588,2.32036,0.63391,1.26751,1.32138,0.000535991,0.000535991,0.000535991
5,49.3191,1.5022,1.75074,0.56857,0.94062,1.26374,0.85994,0.96952,0.93783,0.57014,0.8577,0.94737,0.95544,0.48397,1.40356,2.23548,0.61684,1.15523,1.28722,0.000673268,0.000673268,0.000673268
6,52.5271,1.48937,1.44317,0.57427,0.96863,1.26141,0.77098,0.89474,0.88564,0.49266,0.79365,0.92105,0.9268,0.51513,1.6224,1.88648,0.59434,1.20254,1.47423,0.000809853,0.000809853,0.000809853
7,55.6152,1.50324,1.38487,0.54236,0.9787,1.31573,0.89445,0.89208,0.92635,0.51773,0.93333,0.94737,0.97719,0.59986,1.55767,1.76825,0.55971,1.24802,1.51784,0.000945744,0.000945744,0.000945744
8,58.735,1.47636,1.25863,0.5217,0.94158,1.2931,0.93444,0.92105,0.96138,0.50699,0.96295,0.94737,0.98647,0.69792,1.50844,1.47678,0.49847,1.1924,1.47131,0.00108094,0.00108094,0.00108094
9,61.7021,1.44884,1.21244,0.50573,0.92545,1.29445,0.97293,0.94581,0.96832,0.50063,1,0.97213,0.99227,0.71594,1.6702,1.32686,0.47595,1.16123,1.61089,0.00121545,0.00121545,0.00121545
10,64.9897,1.49104,1.10909,0.51149,0.94139,1.30202,0.87675,0.94737,0.93728,0.52072,0.9011,0.97368,0.95796,0.71766,1.5829,1.15537,0.45014,1.07213,1.55341,0.00134926,0.00134926,0.00134926
11,68.0962,1.44338,1.01494,0.50512,0.88609,1.26764,0.93352,0.89474,0.94969,0.53253,0.92525,0.97721,0.97243,0.78448,1.44393,0.87498,0.38517,0.97368,1.39501,0.00148238,0.00148238,0.00148238
12,71.045,1.43133,0.92213,0.47691,0.89974,1.27491,0.91885,0.89398,0.95411,0.527,0.94587,0.91978,0.97609,0.80227,1.53828,0.79868,0.35998,1.03132,1.4439,0.00161481,0.00161481,0.00161481
13,74.1908,1.42338,0.90479,0.47244,0.8914,1.22914,0.92813,0.94737,0.95358,0.56578,0.94865,0.97229,0.97866,0.83591,1.45092,0.78947,0.35593,1.03204,1.411,0.00174654,0.00174654,0.00174654
14,77.1365,1.33719,0.83665,0.43916,0.83252,1.19258,0.92813,0.94737,0.95358,0.56578,0.94865,0.97229,0.97866,0.83591,1.45092,0.78947,0.35593,1.03204,1.411,0.00187758,0.00187758,0.00187758
15,80.1605,1.35967,0.78032,0.44099,0.83363,1.20451,0.90059,0.94737,0.94007,0.53353,0.90436,0.99545,0.97449,0.80603,1.48009,0.79689,0.32099,1.09305,1.43533,0.0019307,0.0019307,0.0019307
