epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.0656,1.97236,3.04658,1.75226,0.01844,0.78302,0.03171,0.0111,2.12362,3.16088,1.94003,4e-05,4e-05,4e-05
2,53.4605,2.09446,3.14084,1.75134,0.01822,0.77358,0.04347,0.01242,2.08843,3.13865,1.90703,9.9802e-05,9.9802e-05,9.9802e-05
3,55.9098,1.95836,3.07252,1.65762,0.02,0.84906,0.1598,0.04562,2.06308,3.03146,1.74473,0.000159366,0.000159366,0.000159366
4,58.3762,1.85647,2.85297,1.53862,0.02111,0.89623,0.38207,0.12783,2.09755,2.80261,1.56425,0.000218693,0.000218693,0.000218693
5,60.7315,1.87969,2.61,1.48039,0.02067,0.87736,0.35636,0.10957,2.25049,2.71987,1.51456,0.000277782,0.000277782,0.000277782
6,63.1116,1.81918,2.32399,1.43109,0.02044,0.86792,0.38097,0.12132,2.27893,2.6565,1.50327,0.000336634,0.000336634,0.000336634
7,65.4987,1.87587,2.2231,1.47118,0.022,0.93396,0.46299,0.15191,2.16369,2.58324,1.45099,0.000395248,0.000395248,0.000395248
8,67.983,1.85958,2.04568,1.45405,0.02156,0.91509,0.48304,0.17408,2.09742,2.57031,1.42713,0.000453624,0.000453624,0.000453624
9,70.6348,1.8695,1.87051,1.46483,0.06201,0.75468,0.49045,0.16983,2.08539,2.59583,1.47455,0.000511763,0.000511763,0.000511763
10,72.8898,1.89578,1.74249,1.46666,0.76746,0.15579,0.42919,0.16624,2.08581,2.59528,1.49429,0.000569664,0.000569664,0.000569664
11,75.3318,1.86829,1.68406,1.48322,0.77503,0.26007,0.41713,0.14201,2.07419,2.6189,1.61685,0.000627328,0.000627328,0.000627328
12,77.5984,1.84884,1.59386,1.48958,0.76489,0.24528,0.44539,0.17146,2.09002,2.47702,1.56454,0.000684754,0.000684754,0.000684754
13,80.01,1.84685,1.52064,1.47966,0.6353,0.33962,0.40739,0.12973,2.17809,2.49691,1.6753,0.000741942,0.000741942,0.000741942
14,82.2132,1.83192,1.47361,1.48306,0.61656,0.38679,0.38207,0.12348,2.20025,2.45246,1.68844,0.000798893,0.000798893,0.000798893
15,84.4688,1.8684,1.43451,1.49946,0.60454,0.38679,0.43204,0.1542,2.20048,2.39745,1.68446,0.000855606,0.000855606,0.000855606
16,86.6533,1.80864,1.40369,1.44031,0.57699,0.35849,0.38631,0.10665,2.2562,2.4219,1.75796,0.000912082,0.000912082,0.000912082
